shipment_sk,shipped_date_sk,delivered_date_sk,customer_sk,channel_sk,store_sk,ship_addr_sk,status,carrier,tracking_number
1948,,,131,1,,2756,CANCELLED,Correo Argentino,
1949,,,1309,1,,639,CANCELLED,Correo Argentino,
1950,590,595,1496,1,,1173,DELIVERED,Correo Argentino,TRK-VT4BI8U0J0
1951,292,294,1260,1,,2144,DELIVERED,Correo Argentino,TRK-T49BX8UTT7
1952,52,56,9,1,,2675,DELIVERED,Correo Argentino,TRK-7KTERFRQ0D
1953,248,251,129,1,,1951,DELIVERED,Correo Argentino,TRK-VHSVYK4R57
1954,194,196,349,1,,2734,DELIVERED,Correo Argentino,TRK-6LY1LG70CE
1955,478,479,1399,2,2,2,DELIVERED,PICKUP,
1956,439,440,197,2,4,4,DELIVERED,PICKUP,
1957,,,729,2,1,1,CANCELLED,PICKUP,
1958,214,217,414,1,,1792,SHIPPED,Correo Argentino,TRK-ICDQ113F8G
1959,,,1394,1,,1636,CANCELLED,Correo Argentino,
1960,472,476,1380,1,,126,SHIPPED,Correo Argentino,TRK-26KIKSOEHP
1961,426,427,1087,2,4,4,DELIVERED,PICKUP,
1962,463,465,1218,1,,2453,DELIVERED,Correo Argentino,TRK-VNVLMX0HGF
1963,59,60,650,2,4,4,DELIVERED,PICKUP,
1964,473,477,114,1,,2155,DELIVERED,Correo Argentino,TRK-JJO7NGM4DU
1965,246,251,1004,1,,1799,DELIVERED,Correo Argentino,TRK-THXZ3VKUMG
1966,304,308,567,1,,608,DELIVERED,Correo Argentino,TRK-45OHFSFYNC
1967,249,253,967,1,,1217,DELIVERED,Correo Argentino,TRK-GZH9XB6E47
1968,494,497,944,1,,2780,SHIPPED,Correo Argentino,TRK-PBGD7HU5PF
1969,268,270,1150,1,,1793,SHIPPED,Correo Argentino,TRK-96ZL3LLYW4
1970,300,303,1301,1,,2132,SHIPPED,Correo Argentino,TRK-2JTHN9F5AM
1971,,,415,2,3,3,CANCELLED,PICKUP,
1972,,,197,2,2,2,CANCELLED,PICKUP,
1973,532,533,1280,2,3,3,DELIVERED,PICKUP,
1974,142,144,707,1,,774,SHIPPED,Correo Argentino,TRK-K3L89VHZH7
1975,267,269,750,1,,2875,DELIVERED,Correo Argentino,TRK-5J81GT2MVS
1976,148,153,420,1,,171,DELIVERED,Correo Argentino,TRK-SOPYPSZRSO
1977,98,103,264,1,,1776,DELIVERED,Correo Argentino,TRK-OPZX6C7EWP
1978,188,189,451,2,3,3,DELIVERED,PICKUP,
1979,82,83,554,2,2,2,DELIVERED,PICKUP,
1980,163,164,863,2,2,2,DELIVERED,PICKUP,
1981,184,188,1469,1,,2733,DELIVERED,Correo Argentino,TRK-AU67P574OC
1982,574,575,530,2,4,4,DELIVERED,PICKUP,
1983,586,587,1191,2,2,2,SHIPPED,PICKUP,
1984,91,92,258,2,3,3,DELIVERED,PICKUP,
1985,430,433,82,1,,2349,DELIVERED,Correo Argentino,TRK-DZLLDNZEFS
1986,349,351,18,1,,838,DELIVERED,Correo Argentino,TRK-17BW2QJN2V
1987,74,75,282,2,2,2,SHIPPED,PICKUP,
1988,127,131,1322,1,,1050,DELIVERED,Correo Argentino,TRK-TPWWQ6PA0B
1989,320,321,1459,2,4,4,SHIPPED,PICKUP,
1990,578,579,186,2,2,2,SHIPPED,PICKUP,
1991,370,375,405,1,,284,DELIVERED,Correo Argentino,TRK-HTCRYF3DW7
1992,136,140,1056,1,,2906,SHIPPED,Correo Argentino,TRK-PASIUW2WXN
1993,545,548,1134,1,,708,SHIPPED,Correo Argentino,TRK-JTJK0SIHZ2
1994,364,368,407,1,,97,DELIVERED,Correo Argentino,TRK-OCXA2W6BIR
1995,88,90,280,1,,1961,DELIVERED,Correo Argentino,TRK-KZC99NSL74
1996,639,640,1401,2,4,4,DELIVERED,PICKUP,
1997,335,337,586,1,,84,DELIVERED,Correo Argentino,TRK-3ZA2078TXB
1998,318,321,359,1,,2592,DELIVERED,Correo Argentino,TRK-5R0FV1LNY5
1999,313,317,498,1,,155,DELIVERED,Correo Argentino,TRK-SDWC4KQRWX
2000,617,618,952,2,4,4,DELIVERED,PICKUP,
2001,488,492,763,1,,241,SHIPPED,Correo Argentino,TRK-CEUBMV1OIT
2002,222,223,1454,2,2,2,DELIVERED,PICKUP,
2003,479,482,388,1,,1403,SHIPPED,Correo Argentino,TRK-KCCUM7I5O3
2004,552,555,1047,1,,2595,DELIVERED,Correo Argentino,TRK-FILK4OSQNL
2005,155,156,574,2,4,4,DELIVERED,PICKUP,
2006,570,571,1108,2,2,2,DELIVERED,PICKUP,
2007,306,307,791,2,2,2,SHIPPED,PICKUP,
2008,265,269,353,1,,556,DELIVERED,Correo Argentino,TRK-J6M8ISBVCC
2009,542,547,1162,1,,1437,DELIVERED,Correo Argentino,TRK-0J2GVXIYFX
2010,237,242,1062,1,,2067,DELIVERED,Correo Argentino,TRK-4UMK91GGXM
2011,392,393,895,2,2,2,DELIVERED,PICKUP,
2012,600,604,731,1,,3117,DELIVERED,Correo Argentino,TRK-WV0MQ2QN9E
2013,316,321,16,1,,1802,SHIPPED,Correo Argentino,TRK-C5PA6WCT21
2014,337,338,1390,2,2,2,DELIVERED,PICKUP,
2015,490,494,1166,1,,2622,SHIPPED,Correo Argentino,TRK-82P4UC35ST
2016,253,254,884,2,4,4,SHIPPED,PICKUP,
2017,217,222,322,1,,2091,DELIVERED,Correo Argentino,TRK-QRFKIAU0KF
2018,17,19,177,1,,2265,DELIVERED,Correo Argentino,TRK-7D1JR40406
2019,277,278,283,2,1,1,SHIPPED,PICKUP,
2020,377,381,346,1,,538,DELIVERED,Correo Argentino,TRK-6YZSE6TNCE
2021,169,174,1170,1,,2112,DELIVERED,Correo Argentino,TRK-F2GUKF1S5G
2022,142,145,471,1,,2960,DELIVERED,Correo Argentino,TRK-RAPWGUW5EP
2023,231,235,1493,1,,1373,DELIVERED,Correo Argentino,TRK-PMMZTI50RE
2024,279,280,825,2,3,3,DELIVERED,PICKUP,
2025,123,127,324,1,,2944,DELIVERED,Correo Argentino,TRK-SUIEK3R3UD
2026,247,250,1393,1,,2026,DELIVERED,Correo Argentino,TRK-T6USLVTK2L
2027,600,601,645,2,1,1,DELIVERED,PICKUP,
2028,468,470,107,1,,894,DELIVERED,Correo Argentino,TRK-YPJGBI6HM8
2029,434,440,1335,1,,2784,DELIVERED,Correo Argentino,TRK-S9OHCWRLJ4
2030,506,510,549,1,,233,DELIVERED,Correo Argentino,TRK-NABQ3753EB
2031,450,455,1235,1,,2114,DELIVERED,Correo Argentino,TRK-PLDIZV5PGH
2032,88,93,1281,1,,2846,DELIVERED,Correo Argentino,TRK-ZIF29DJ9E4
2033,115,119,307,1,,519,DELIVERED,Correo Argentino,TRK-NZ28QWJX8V
2034,99,103,619,1,,1383,DELIVERED,Correo Argentino,TRK-1MEYWKJETO
2035,272,276,828,1,,736,DELIVERED,Correo Argentino,TRK-04NBH92X6K
2036,178,179,477,2,1,1,DELIVERED,PICKUP,
2037,341,346,516,1,,104,DELIVERED,Correo Argentino,TRK-Z5OM1RQ881
2038,142,146,1324,1,,3118,READY,Correo Argentino,TRK-YD7I1D7XY5
2039,19,23,321,1,,916,DELIVERED,Correo Argentino,TRK-CX72ZDC026
2040,453,454,902,2,4,4,DELIVERED,PICKUP,
2041,481,485,82,1,,2217,DELIVERED,Correo Argentino,TRK-4QVQ90Z10J
2042,544,548,809,1,,758,SHIPPED,Correo Argentino,TRK-WOFUV4HOAK
2043,109,113,246,1,,1215,SHIPPED,Correo Argentino,TRK-C89L5Y4RGP
2044,63,65,1235,1,,2263,DELIVERED,Correo Argentino,TRK-90P9JPTX7W
2045,193,197,196,1,,3203,DELIVERED,Correo Argentino,TRK-419K9Q7L3B
2046,153,157,1163,1,,339,SHIPPED,Correo Argentino,TRK-QD885M3EQ3
2047,504,505,709,2,1,1,DELIVERED,PICKUP,
2048,305,310,382,1,,3137,DELIVERED,Correo Argentino,TRK-5BMYRY9VVL
2049,190,193,202,1,,1464,DELIVERED,Correo Argentino,TRK-C7FC4NKSWG
2050,24,27,304,1,,2474,SHIPPED,Correo Argentino,TRK-QRAL4715RE
2051,12,16,560,1,,1813,DELIVERED,Correo Argentino,TRK-UWYMA3BQD5
2052,351,352,571,2,1,1,DELIVERED,PICKUP,
2053,365,366,131,2,1,1,DELIVERED,PICKUP,
2054,46,47,1484,2,4,4,DELIVERED,PICKUP,
2055,346,349,241,1,,582,DELIVERED,Correo Argentino,TRK-1SCIGEFKP8
2056,240,241,1098,2,2,2,DELIVERED,PICKUP,
2057,90,91,835,2,1,1,DELIVERED,PICKUP,
2058,145,146,1246,2,4,4,DELIVERED,PICKUP,
2059,,,1499,1,,1037,CANCELLED,Correo Argentino,
2060,559,564,919,1,,751,DELIVERED,Correo Argentino,TRK-CK6PHDX21F
2061,210,211,1120,2,2,2,SHIPPED,PICKUP,
2062,63,68,1364,1,,2269,SHIPPED,Correo Argentino,TRK-74UHUXMNFI
2063,452,454,85,1,,2890,DELIVERED,Correo Argentino,TRK-C08ECPZHOB
2064,143,144,971,2,1,1,DELIVERED,PICKUP,
2065,,,431,2,4,4,CANCELLED,PICKUP,
2066,46,47,927,2,4,4,DELIVERED,PICKUP,
2067,,,27,1,,182,CANCELLED,Correo Argentino,
2068,627,631,120,1,,1975,SHIPPED,Correo Argentino,TRK-U8NCADJV64
2069,454,456,917,1,,16,DELIVERED,Correo Argentino,TRK-QKIHX9T0B6
2070,87,89,1138,1,,1453,DELIVERED,Correo Argentino,TRK-F198FPQJRX
2071,147,149,1139,1,,1763,SHIPPED,Correo Argentino,TRK-0WJOJD42YM
2072,476,480,588,1,,2752,DELIVERED,Correo Argentino,TRK-SKUMWIHUL7
2073,,,1336,1,,2591,CANCELLED,Correo Argentino,
2074,143,147,702,1,,2239,DELIVERED,Correo Argentino,TRK-WYDG30C3RB
2075,274,275,779,2,2,2,DELIVERED,PICKUP,
2076,363,368,483,1,,2158,DELIVERED,Correo Argentino,TRK-1BJA9HERQC
2077,478,479,757,2,4,4,SHIPPED,PICKUP,
2078,,,927,2,4,4,CANCELLED,PICKUP,
2079,,,560,1,,2796,CANCELLED,Correo Argentino,
2080,307,313,832,1,,2478,SHIPPED,Correo Argentino,TRK-GDJFGPSG73
2081,119,122,301,1,,1776,DELIVERED,Correo Argentino,TRK-ELTDEI93SB
2082,126,129,425,1,,2564,DELIVERED,Correo Argentino,TRK-EOJRBLB81X
2083,,,1453,1,,2492,CANCELLED,Correo Argentino,
2084,455,458,1135,1,,31,DELIVERED,Correo Argentino,TRK-65VGR99V1T
2085,584,586,149,1,,1032,DELIVERED,Correo Argentino,TRK-Q2V3H06SNH
2086,,,12,1,,1607,CANCELLED,Correo Argentino,
2087,439,444,1328,1,,2281,DELIVERED,Correo Argentino,TRK-YM89YHH5ID
2088,157,158,492,2,2,2,DELIVERED,PICKUP,
2089,506,510,343,1,,2958,DELIVERED,Correo Argentino,TRK-MPJ0RQBTAN
2090,203,204,729,2,1,1,DELIVERED,PICKUP,
2091,8,9,1261,2,3,3,DELIVERED,PICKUP,
2092,532,533,829,2,4,4,DELIVERED,PICKUP,
2093,38,41,342,1,,1167,SHIPPED,Correo Argentino,TRK-A2WQ0GIVBF
2094,174,175,944,2,4,4,DELIVERED,PICKUP,
2095,,,1499,2,4,4,CANCELLED,PICKUP,
2096,563,564,852,2,4,4,SHIPPED,PICKUP,
2097,311,312,52,2,1,1,DELIVERED,PICKUP,
2098,86,89,397,1,,1285,SHIPPED,Correo Argentino,TRK-L82189QXGC
2099,45,50,1111,1,,525,DELIVERED,Correo Argentino,TRK-T8RJOXKZ7C
2100,505,509,1380,1,,1302,DELIVERED,Correo Argentino,TRK-XX9RBFYG1T
2101,26,31,1359,1,,811,SHIPPED,Correo Argentino,TRK-80GVF128ZR
2102,136,141,332,1,,2096,DELIVERED,Correo Argentino,TRK-V5AXI7C6K7
2103,5,7,631,1,,2677,DELIVERED,Correo Argentino,TRK-52EPRTUTXL
2104,458,459,1055,2,1,1,DELIVERED,PICKUP,
2105,502,507,1478,1,,1718,SHIPPED,Correo Argentino,TRK-LPSXVH0429
2106,14,15,831,2,2,2,SHIPPED,PICKUP,
2107,596,597,1108,2,2,2,DELIVERED,PICKUP,
2108,526,527,1227,2,3,3,DELIVERED,PICKUP,
2109,565,566,1049,2,4,4,DELIVERED,PICKUP,
2110,139,140,582,2,3,3,DELIVERED,PICKUP,
2111,482,485,119,1,,106,DELIVERED,Correo Argentino,TRK-R2XTH7T6IC
2112,103,106,6,1,,2113,DELIVERED,Correo Argentino,TRK-12E310LNPL
2113,,,736,2,2,2,CANCELLED,PICKUP,
2114,419,420,611,2,2,2,DELIVERED,PICKUP,
2115,237,238,921,2,1,1,DELIVERED,PICKUP,
2116,,,259,1,,621,CANCELLED,Correo Argentino,
2117,79,83,795,1,,1186,DELIVERED,Correo Argentino,TRK-CZFPT44V4Z
2118,186,188,5,1,,2845,DELIVERED,Correo Argentino,TRK-C527DM2D1U
2119,439,440,178,2,2,2,DELIVERED,PICKUP,
2120,433,438,708,1,,2212,DELIVERED,Correo Argentino,TRK-4RX4J0Q482
2121,186,188,1062,1,,3128,SHIPPED,Correo Argentino,TRK-13G3WSVM1L
2122,413,416,463,1,,597,DELIVERED,Correo Argentino,TRK-U3OXDXLGH9
2123,520,521,819,2,1,1,DELIVERED,PICKUP,
2124,587,589,106,1,,961,SHIPPED,Correo Argentino,TRK-7GV8D2ZWE4
2125,180,182,353,1,,2896,DELIVERED,Correo Argentino,TRK-TS0MYE5PZG
2126,455,459,1270,1,,962,DELIVERED,Correo Argentino,TRK-DJ8VFMKMU5
2127,481,486,320,1,,1940,DELIVERED,Correo Argentino,TRK-N15OQO3ZMB
2128,335,336,1053,2,3,3,READY,PICKUP,
2129,538,542,474,1,,225,DELIVERED,Correo Argentino,TRK-T5WNY51J6W
2130,468,469,991,2,3,3,DELIVERED,PICKUP,
2131,,,161,1,,823,CANCELLED,Correo Argentino,
2132,543,548,1395,1,,1503,DELIVERED,Correo Argentino,TRK-5KWF26CHJP
2133,,,937,2,4,4,CANCELLED,PICKUP,
2134,9,14,373,1,,1378,SHIPPED,Correo Argentino,TRK-YX1EV61SEX
2135,590,591,1001,2,2,2,SHIPPED,PICKUP,
2136,156,157,399,2,4,4,DELIVERED,PICKUP,
2137,186,188,663,1,,2533,DELIVERED,Correo Argentino,TRK-MB6CCKHKVP
2138,121,123,240,1,,928,SHIPPED,Correo Argentino,TRK-DA9ICSRV34
2139,376,381,255,1,,1861,DELIVERED,Correo Argentino,TRK-IHDOAU3FN9
2140,250,251,1061,2,1,1,SHIPPED,PICKUP,
2141,,,216,1,,3046,CANCELLED,Correo Argentino,
2142,408,413,526,1,,2110,DELIVERED,Correo Argentino,TRK-F50RTDN22N
2143,,,1030,2,1,1,CANCELLED,PICKUP,
2144,328,332,802,1,,694,SHIPPED,Correo Argentino,TRK-Z9OZ9MTC3J
2145,436,438,1337,1,,1204,DELIVERED,Correo Argentino,TRK-MWB92D5NKD
2146,593,596,690,1,,1458,SHIPPED,Correo Argentino,TRK-FJ0QY1DD6T
2147,227,228,1323,2,3,3,DELIVERED,PICKUP,
2148,501,504,204,1,,543,DELIVERED,Correo Argentino,TRK-WH3CNCGJ9S
2149,,,155,1,,1891,CANCELLED,Correo Argentino,
2150,345,346,559,2,2,2,SHIPPED,PICKUP,
2151,311,313,1137,1,,2709,SHIPPED,Correo Argentino,TRK-W94F8TQR7P
2152,142,146,132,1,,14,DELIVERED,Correo Argentino,TRK-B1X90OX4WB
2153,604,605,674,2,3,3,DELIVERED,PICKUP,
2154,186,191,747,1,,1822,SHIPPED,Correo Argentino,TRK-BQ8ZGAAEKP
2155,307,308,503,2,2,2,DELIVERED,PICKUP,
2156,96,100,55,1,,3081,SHIPPED,Correo Argentino,TRK-OT56TAT05I
2157,619,623,146,1,,1682,DELIVERED,Correo Argentino,TRK-CVSWOB0DJO
2158,597,598,978,2,3,3,DELIVERED,PICKUP,
2159,468,473,1414,1,,788,DELIVERED,Correo Argentino,TRK-J50JFGQ2XN
2160,,,1406,2,1,1,CANCELLED,PICKUP,
2161,423,428,1188,1,,1088,SHIPPED,Correo Argentino,TRK-OCWXFBT47Z
2162,329,331,212,1,,1393,DELIVERED,Correo Argentino,TRK-XUZQUVERI5
2163,39,40,1075,2,1,1,DELIVERED,PICKUP,
2164,610,612,974,1,,1117,DELIVERED,Correo Argentino,TRK-JFY3XWCLGU
2165,172,173,1476,2,2,2,DELIVERED,PICKUP,
2166,393,397,1438,1,,873,DELIVERED,Correo Argentino,TRK-I7O16AZ6O4
2167,33,34,1012,2,4,4,DELIVERED,PICKUP,
2168,490,491,27,2,1,1,DELIVERED,PICKUP,
2169,,,723,2,4,4,CANCELLED,PICKUP,
2170,623,626,247,1,,439,DELIVERED,Correo Argentino,TRK-CFI4698Z9B
2171,458,460,304,1,,2420,DELIVERED,Correo Argentino,TRK-YQY5QAIX72
2172,58,62,394,1,,68,SHIPPED,Correo Argentino,TRK-WLENZJ99ZK
2173,375,376,1485,2,2,2,DELIVERED,PICKUP,
2174,110,115,1210,1,,505,SHIPPED,Correo Argentino,TRK-PHH5NIB0NF
2175,8,14,381,1,,2176,DELIVERED,Correo Argentino,TRK-B880FI3HGL
2176,70,71,1108,2,3,3,DELIVERED,PICKUP,
2177,564,565,1171,2,2,2,DELIVERED,PICKUP,
2178,35,36,834,2,1,1,DELIVERED,PICKUP,
2179,457,459,746,1,,1674,DELIVERED,Correo Argentino,TRK-EO08Z46YQT
2180,173,176,796,1,,2232,SHIPPED,Correo Argentino,TRK-LFJTAVVERA
2181,577,578,814,2,2,2,DELIVERED,PICKUP,
2182,599,604,843,1,,227,DELIVERED,Correo Argentino,TRK-I5K6IB3RHE
2183,540,542,218,1,,2392,DELIVERED,Correo Argentino,TRK-DZQKTM61SE
2184,47,48,209,2,4,4,SHIPPED,PICKUP,
2185,535,536,367,2,1,1,DELIVERED,PICKUP,
2186,116,120,902,1,,2861,SHIPPED,Correo Argentino,TRK-L0FKKIL99O
2187,149,150,1484,2,4,4,DELIVERED,PICKUP,
2188,390,393,1094,1,,521,DELIVERED,Correo Argentino,TRK-V6U8B4TY3B
2189,19,20,1113,2,3,3,DELIVERED,PICKUP,
2190,125,129,930,1,,2970,DELIVERED,Correo Argentino,TRK-DTXAC8H92F
2191,468,469,1135,2,1,1,DELIVERED,PICKUP,
2192,566,568,476,1,,3124,SHIPPED,Correo Argentino,TRK-658FJ212CV
2193,,,972,2,2,2,CANCELLED,PICKUP,
2194,146,147,872,2,4,4,DELIVERED,PICKUP,
2195,269,270,1396,2,2,2,DELIVERED,PICKUP,
2196,192,193,998,2,2,2,DELIVERED,PICKUP,
2197,,,69,1,,2930,CANCELLED,Correo Argentino,
2198,625,629,873,1,,123,SHIPPED,Correo Argentino,TRK-5JDHMBZXI4
2199,339,340,862,2,3,3,DELIVERED,PICKUP,
2200,458,462,1029,1,,2977,DELIVERED,Correo Argentino,TRK-JTC8Y2J84J
2201,500,501,721,2,3,3,DELIVERED,PICKUP,
2202,445,446,150,2,4,4,DELIVERED,PICKUP,
2203,391,395,1004,1,,1367,DELIVERED,Correo Argentino,TRK-1UNHLD9BRX
2204,481,482,450,2,1,1,DELIVERED,PICKUP,
2205,88,89,172,2,1,1,DELIVERED,PICKUP,
2206,417,418,1376,2,3,3,DELIVERED,PICKUP,
2207,637,638,234,2,4,4,DELIVERED,PICKUP,
2208,512,515,234,1,,1558,DELIVERED,Correo Argentino,TRK-UPTREHIE5R
2209,426,428,117,1,,2908,SHIPPED,Correo Argentino,TRK-3TR8QDCJIY
2210,6,13,37,1,,2866,DELIVERED,Correo Argentino,TRK-F8TPCOREH1
2211,29,30,1116,2,4,4,DELIVERED,PICKUP,
2212,471,475,235,1,,854,DELIVERED,Correo Argentino,TRK-99RAI7C9WT
2213,501,505,285,1,,2316,DELIVERED,Correo Argentino,TRK-3PTTYZTIEU
2214,62,67,1188,1,,880,DELIVERED,Correo Argentino,TRK-D7MZ3HDHCR
2215,638,639,230,2,1,1,DELIVERED,PICKUP,
2216,499,500,1399,2,4,4,DELIVERED,PICKUP,
2217,382,384,1363,1,,2159,DELIVERED,Correo Argentino,TRK-8RK8HCRCU7
2218,307,308,855,2,3,3,DELIVERED,PICKUP,
2219,302,305,498,1,,2309,SHIPPED,Correo Argentino,TRK-OKV9F2RY0H
2220,159,161,140,1,,3053,SHIPPED,Correo Argentino,TRK-DTXNT28YSL
2221,366,367,956,2,1,1,DELIVERED,PICKUP,
2222,261,262,235,2,1,1,DELIVERED,PICKUP,
2223,486,489,1268,1,,2882,DELIVERED,Correo Argentino,TRK-A9T9SJWW1R
2224,104,109,1322,1,,1719,DELIVERED,Correo Argentino,TRK-GPRZCJFAPO
2225,399,404,194,1,,1195,DELIVERED,Correo Argentino,TRK-XHYA8XDQHL
2226,372,375,1446,1,,2905,DELIVERED,Correo Argentino,TRK-8TFUTAVPS9
2227,186,187,502,2,1,1,DELIVERED,PICKUP,
2228,396,397,1410,2,3,3,DELIVERED,PICKUP,
2229,515,520,951,1,,354,DELIVERED,Correo Argentino,TRK-5OJ4MS7KHC
2230,600,604,1124,1,,1893,DELIVERED,Correo Argentino,TRK-M6YF49Y0RJ
2231,137,138,1005,2,2,2,DELIVERED,PICKUP,
2232,98,99,578,2,4,4,DELIVERED,PICKUP,
2233,501,505,881,1,,2549,DELIVERED,Correo Argentino,TRK-Z8GHNESB06
2234,373,374,865,2,3,3,DELIVERED,PICKUP,
2235,228,229,411,2,3,3,SHIPPED,PICKUP,
2236,411,412,1412,2,4,4,SHIPPED,PICKUP,
2237,15,20,167,1,,2901,SHIPPED,Correo Argentino,TRK-Y7IYDC2F96
2238,52,57,623,1,,1785,DELIVERED,Correo Argentino,TRK-HTA57AGDZ8
2239,442,447,1245,1,,1367,SHIPPED,Correo Argentino,TRK-CIV3Y9MZ70
2240,165,169,1389,1,,1046,DELIVERED,Correo Argentino,TRK-BD3VUFTPYC
2241,293,298,354,1,,2514,DELIVERED,Correo Argentino,TRK-SY6JH09K3S
2242,345,347,217,1,,3193,DELIVERED,Correo Argentino,TRK-STW2I3IZW1
2243,63,64,502,2,2,2,DELIVERED,PICKUP,
2244,,,320,1,,1991,CANCELLED,Correo Argentino,
2245,393,395,590,1,,987,SHIPPED,Correo Argentino,TRK-W86AQPKYKS
2246,287,291,1358,1,,948,DELIVERED,Correo Argentino,TRK-CNT0YMQCW1
2247,358,359,1413,2,3,3,DELIVERED,PICKUP,
2248,441,446,1183,1,,2768,DELIVERED,Correo Argentino,TRK-WCDXVIXJ2J
2249,256,260,1270,1,,1000,DELIVERED,Correo Argentino,TRK-Q0TSXGKJTW
2250,470,472,991,1,,3177,DELIVERED,Correo Argentino,TRK-W6ERT1I0GA
2251,98,100,748,1,,1425,DELIVERED,Correo Argentino,TRK-71V8KART8Y
2252,305,308,1315,1,,504,DELIVERED,Correo Argentino,TRK-169L4UF1A7
2253,622,623,529,2,1,1,DELIVERED,PICKUP,
2254,,,1186,1,,894,CANCELLED,Correo Argentino,
2255,217,220,826,1,,830,DELIVERED,Correo Argentino,TRK-0NNSZYI5EQ
2256,169,175,53,1,,2450,DELIVERED,Correo Argentino,TRK-R4FNNLC2ZF
2257,229,230,810,2,3,3,DELIVERED,PICKUP,
2258,418,419,1442,2,1,1,DELIVERED,PICKUP,
2259,202,203,397,2,3,3,DELIVERED,PICKUP,
2260,172,177,292,1,,549,DELIVERED,Correo Argentino,TRK-34HE9TKVWH
2261,,,73,1,,1464,CANCELLED,Correo Argentino,
2262,640,645,462,1,,1795,DELIVERED,Correo Argentino,TRK-NAXTBNNNGN
2263,577,582,1441,1,,3144,DELIVERED,Correo Argentino,TRK-GGUUFALZWJ
2264,72,77,696,1,,1361,DELIVERED,Correo Argentino,TRK-JLYEGL0B54
2265,619,620,568,2,2,2,DELIVERED,PICKUP,
2266,529,534,888,1,,2442,DELIVERED,Correo Argentino,TRK-G1KEQ0PAX4
2267,104,105,1065,2,4,4,DELIVERED,PICKUP,
2268,142,147,667,1,,2574,SHIPPED,Correo Argentino,TRK-NPSF9TAHPG
2269,467,472,156,1,,132,READY,Correo Argentino,TRK-DRDARN70IP
2270,18,21,272,1,,1222,DELIVERED,Correo Argentino,TRK-ULE8NGXBX2
2271,272,275,515,1,,949,DELIVERED,Correo Argentino,TRK-SCQC62Y7JN
2272,,,1109,2,1,1,CANCELLED,PICKUP,
2273,306,307,4,2,1,1,DELIVERED,PICKUP,
2274,580,581,1406,2,3,3,DELIVERED,PICKUP,
2275,449,450,701,2,4,4,DELIVERED,PICKUP,
2276,264,265,438,2,1,1,SHIPPED,PICKUP,
2277,166,171,275,1,,2148,DELIVERED,Correo Argentino,TRK-2US8EHTDC1
2278,95,100,1054,1,,443,DELIVERED,Correo Argentino,TRK-AT1PTG3AGY
2279,233,234,831,2,2,2,DELIVERED,PICKUP,
2280,62,63,161,2,3,3,DELIVERED,PICKUP,
2281,13,16,1379,1,,1946,DELIVERED,Correo Argentino,TRK-0SOM4G53MR
2282,280,284,1004,1,,3085,DELIVERED,Correo Argentino,TRK-Q53EUO4UY4
2283,291,296,7,1,,2363,DELIVERED,Correo Argentino,TRK-ZCJ2YT5RXD
2284,139,141,728,1,,1238,SHIPPED,Correo Argentino,TRK-E0PGF45DPM
2285,400,403,832,1,,922,DELIVERED,Correo Argentino,TRK-LELTAP3LUX
2286,508,513,177,1,,576,DELIVERED,Correo Argentino,TRK-V376469CRK
2287,376,377,526,2,2,2,SHIPPED,PICKUP,
2288,,,312,2,1,1,CANCELLED,PICKUP,
2289,290,293,297,1,,542,DELIVERED,Correo Argentino,TRK-16B9FZ8LRO
2290,244,245,472,2,4,4,DELIVERED,PICKUP,
2291,508,513,133,1,,2083,DELIVERED,Correo Argentino,TRK-BCQZ91VHSG
2292,74,75,718,2,4,4,DELIVERED,PICKUP,
2293,,,378,1,,906,CANCELLED,Correo Argentino,
2294,87,91,1390,1,,810,DELIVERED,Correo Argentino,TRK-L9DYBG7IZQ
2295,90,91,1114,2,3,3,SHIPPED,PICKUP,
2296,195,196,102,2,3,3,SHIPPED,PICKUP,
2297,517,524,484,1,,2405,SHIPPED,Correo Argentino,TRK-21ORKWDJVM
2298,357,358,1297,2,2,2,DELIVERED,PICKUP,
2299,141,144,716,1,,1898,DELIVERED,Correo Argentino,TRK-GVV7D4N594
2300,,,1009,1,,344,CANCELLED,Correo Argentino,
2301,,,860,1,,2461,CANCELLED,Correo Argentino,
2302,173,175,118,1,,1586,DELIVERED,Correo Argentino,TRK-8YTJBAEMBJ
2303,223,228,891,1,,1075,DELIVERED,Correo Argentino,TRK-MTLTAEYK89
2304,403,404,1091,2,2,2,READY,PICKUP,
2305,450,452,1373,1,,1601,DELIVERED,Correo Argentino,TRK-FDLF56RD3U
2306,403,404,557,2,4,4,DELIVERED,PICKUP,
2307,327,330,757,1,,2948,DELIVERED,Correo Argentino,TRK-5OYTF03NFA
2308,19,23,1015,1,,94,DELIVERED,Correo Argentino,TRK-DNH0AT8MYW
2309,,,635,1,,1070,CANCELLED,Correo Argentino,
2310,427,429,498,1,,65,DELIVERED,Correo Argentino,TRK-TR0XMMAJ6V
2311,224,225,886,2,4,4,DELIVERED,PICKUP,
2312,488,489,1127,2,4,4,DELIVERED,PICKUP,
2313,106,113,1220,1,,265,SHIPPED,Correo Argentino,TRK-HYKOH9LMJH
2314,321,326,16,1,,270,DELIVERED,Correo Argentino,TRK-X1Q4QVT81K
2315,80,82,350,1,,2814,SHIPPED,Correo Argentino,TRK-TGQYR3VX5A
2316,115,118,37,1,,3115,DELIVERED,Correo Argentino,TRK-U0JOU2AKTX
